Unnamed: 0,Tree_number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,4.173555200002740,stay,1.0470639999985000,98,98,98
1,1,7.895551600013280,stay,0.8356370999972570,81,179,179
2,1,11.49545840000790,stay,1.0847016000043400,67,246,246
3,1,15.683376100001600,stay,0.8236837000004020,63,309,309
4,1,21.53159840000440,stay,1.1713951999991000,49,358,358
6,2,32.9134563000116,stay,0.687785400004941,95,95,453
7,2,36.921226000005800,stay,0.9620053000107870,81,176,534
8,2,40.4913663000043,stay,1.0487832999933700,69,245,603
9,2,46.05137500001000,stay,0.8424443999974760,59,304,662
10,2,49.72994270001070,stay,0.8038308000104740,50,354,712
12,3,59.06748380001230,stay,0.6749777999939400,98,98,810
13,3,62.555764000004300,stay,0.7471542000130290,80,178,890
14,3,65.71337550001040,stay,0.8215512000024320,71,249,961
15,3,69.37780159999970,stay,0.6523959000041940,60,309,1021
16,3,72.60965710000890,stay,0.7179330000071790,54,363,1075
17,3,75.91714530000170,stay,1.206939900002910,40,403,1115
19,4,85.5136024000094,stay,0.8386642999976180,95,95,1210
20,4,89.35769129999970,stay,0.8661770000035180,77,172,1287
21,4,92.63957170001230,stay,0.7147645000077320,73,245,1360
22,4,96.88929080001250,stay,0.9143207000015540,58,303,1418
23,4,100.04961460000800,stay,1.0082440999976800,50,353,1468
25,5,109.2358452000040,stay,0.6782051000045610,99,99,1567
26,5,112.96743880001300,stay,1.1096295000024800,76,175,1643
27,5,117.161351200004,stay,1.1371057999931500,69,244,1712
28,5,121.01134740001000,stay,0.9376407999952790,55,299,1767
29,5,124.5855436999990,stay,0.8114750999957320,50,349,1817
31,6,134.0893350000120,stay,0.9323740999971050,90,90,1907
32,6,137.64769969999900,stay,0.8068695000110890,76,166,1983
33,6,141.30211319999900,stay,0.861352000007173,73,239,2056
34,6,145.3456232000030,stay,1.005434000006060,56,295,2112
36,7,156.9777926000100,stay,0.7375420999887870,88,88,2200
37,7,160.52157029999900,stay,0.8983660000085370,75,163,2275
38,7,164.4502046000130,stay,0.876410400000168,65,228,2340
39,7,167.87953750000500,stay,1.03998520001187,62,290,2402
40,7,171.1014029000070,stay,0.7950445999886140,51,341,2453
42,8,180.1838418000120,stay,0.827725900002406,94,94,2547
43,8,183.6733882000120,stay,0.7503784000000450,81,175,2628
44,8,187.19937540000000,stay,0.7764255999936720,73,248,2701
45,8,190.72569130000200,stay,0.7863501999963770,57,305,2758
47,9,201.7836949000050,stay,0.5776558999932600,90,90,2848
48,9,205.1416525000100,stay,0.652416999990237,80,170,2928
49,9,208.27332180000700,stay,0.7343238000030400,68,238,2996
50,9,211.75976600000300,stay,0.5370968999923210,63,301,3059
51,9,214.8937050000100,stay,0.687759599997662,55,356,3114
52,9,221.25568270000800,stay,1.1008564999938200,36,392,3150
54,10,231.4634570000050,stay,0.591408300009789,94,94,3244
55,10,235.0661181000030,stay,0.8105980999971510,76,170,3320
56,10,238.44981660001200,stay,0.91138449999562,66,236,3386
57,10,241.8715298000030,stay,1.066301899991230,60,296,3446
58,10,245.4375149000120,stay,0.932500800001435,45,341,3491
60,11,255.64351970001000,stay,0.60530270000163,99,99,3590
61,11,259.293780100008,stay,0.8888788999902320,81,180,3671
62,11,262.57968940000900,stay,0.924972799999523,72,252,3743
63,11,265.80327150000100,stay,0.8819511000037890,60,312,3803
64,11,269.20756800001300,stay,0.8532505000039240,51,363,3854
66,12,278.18961760000100,stay,0.8184238999965600,93,93,3947
67,12,281.46564870000300,stay,0.5449146000028120,84,177,4031
68,12,284.4115613000030,stay,0.7740166000003230,74,251,4105
69,12,287.4580331000030,stay,0.6701153000030900,62,313,4167
70,12,291.32736750000900,stay,0.5568418000038950,51,364,4218